LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID27765891,27765891,2,72.13290405273438,2.3944266171359203,2.931559601786812,2.850211034306995,0.0,0,0.115,1,,420.10370370370373,417.0,148.0,715.0,56714.0,146.08805737830954,0.35431880872877164,1.5046832592328554
ID27765871,27765871,2,53.973388671875,2.389036494061066,2.9384413310454685,2.5620713778786164,3.821744918823242,1,0.115,1,,312.68148148148146,296.0,126.0,527.0,42212.0,102.99801851824313,0.3580584427979534,1.600806155499772
ID27765886,27765886,2,38.78961181640625,2.4000763803168614,3.1005383184602007,2.6315918168439545,7.643489837646484,2,0.115,1,,227.01481481481483,220.0,89.0,380.0,30647.0,73.84058920881019,0.35434402718095703,1.6087374130049092
ID27765877,27765877,2,28.832290649414062,2.3597352576397363,3.146711545335278,2.619125274745907,11.465234756469727,3,0.115,1,,176.38518518518518,175.0,66.0,288.0,23812.0,57.703822422495925,0.3417733835231496,1.557207847450721
ID27765857,27765857,2,25.792129516601562,2.446090421834189,3.17943809708086,2.5484660655965445,15.286979675292969,4,0.115,1,,154.32592592592593,153.0,63.0,256.0,20834.0,49.09050879929416,0.3469197084647956,1.619416719192711
ID27765862,27765862,2,25.2528076171875,2.4152668884960713,3.2293274140837616,2.566725776294426,19.10872459411621,5,0.115,1,,146.45185185185184,140.0,57.0,248.0,19771.0,48.200253687094595,0.35612189953377243,1.5957890884914692
ID27765865,27765865,2,23.83832550048828,2.427683632505159,3.2691506765440628,2.6483807337295353,22.930469512939453,6,0.115,1,,122.1037037037037,119.0,34.0,221.0,16484.0,50.32732768142318,0.39210168120409644,1.3667299420790233
ID27765883,27765883,2,20.136123657226562,2.3996885027945534,3.310161127186868,2.493073662968641,26.752214431762695,7,0.115,1,,102.34074074074074,95.0,31.0,187.0,13816.0,41.12669956801367,0.3967509305647321,1.4136883458467417
ID27765900,27765900,2,18.478424072265625,2.3015241715877255,3.398297919137847,2.4618606006889414,30.573959350585938,8,0.115,1,,93.46666666666667,88.0,24.0,172.0,12618.0,39.1449278085211,0.3970607961932157,1.3572284574488254
ID27765902,27765902,2,8.344715118408203,2.2685261774965224,3.325582885551122,2.2707046093171335,34.39570426940918,9,0.115,1,,45.48148148148148,44.0,13.0,80.0,6140.0,17.671906979618704,0.37368266117162197,1.4002246279791262
ID27765908,27765908,2,8.06148910522461,2.237712801227164,3.304857971756011,2.184557499410021,38.21744918823242,10,0.115,1,,41.77777777777778,41.0,12.0,76.0,5640.0,17.389165724010873,0.3906585158592601,1.3498122988829346
ID27765914,27765914,2,6.649364471435547,2.2408356600812964,3.2144483569476536,2.20837407318412,42.039194107055664,11,0.115,1,,34.17037037037037,33.0,10.0,62.0,4613.0,13.514249384592778,0.3937207943300062,1.4285660528615802
ID27765904,27765904,2,6.167011260986328,2.211756658128365,3.1779224535180925,2.0214188641901,45.860939025878906,12,0.115,1,,32.63703703703704,32.0,11.0,58.0,4406.0,12.569572005802973,0.38269424647126354,1.4372953053824986
ID27765906,27765906,2,17.762779235839844,2.05481449579658,3.0976765222893032,2.407005519325782,49.68268394470215,13,0.115,1,,90.60740740740741,87.0,28.0,167.0,12232.0,37.21320105527798,0.3929610676357245,1.3737484548011658
ID27765912,27765912,2,18.800521850585938,1.8464125479958253,3.1194688722671855,2.3761814211747816,53.50442886352539,14,0.115,1,,94.06666666666666,87.0,31.0,174.0,12699.0,37.37849968639686,0.40148324786445083,1.4418610254962312
ID27765910,27765910,2,15.927070617675781,1.6621501479980256,3.0633140335264426,2.2412044552619284,57.32617378234863,15,0.115,1,,94.29629629629629,87.0,43.0,157.0,12730.0,29.220232735308304,0.34987381061879747,1.6728585628322348
ID27765916,27765916,2,12.422012329101562,1.6655130100957638,3.0337650127806524,2.10090947500175,61.147918701171875,16,0.115,1,,73.92592592592592,70.0,32.0,123.0,9980.0,23.08796599045835,0.34804203710716675,1.6533673648191796
ID27765918,27765918,2,13.381759643554688,1.9271136283173596,3.5526559906477346,2.174955309048929,64.96966361999512,17,0.115,1,,78.63703703703703,77.0,27.0,130.0,10616.0,25.843850103462906,0.3519019170038599,1.584077306838655
ID27765920,27765920,2,12.172649383544922,1.99738522522756,3.547975405164879,2.263586269353389,68.79140853881836,18,0.115,1,,63.46666666666667,61.0,22.0,113.0,8568.0,24.193807027986786,0.3880623005882371,1.466776582147492
ID27765922,27765922,2,14.15130615234375,1.9387147561429365,3.6042058612971206,2.327391466325116,72.6131534576416,19,0.115,1,,72.91851851851852,66.0,28.0,132.0,9844.0,27.559447780533233,0.3905394037100983,1.4862055537052399
ID27765890,27765890,3,24.235557556152344,5.697138498789771,5.505260744710455,0.8801820894526664,0.0,0,0.115,1,,136.3111111111111,129.0,61.0,233.0,18402.0,43.541105414269374,0.36610203265539076,1.677956916119514
ID27765870,27765870,3,15.042861938476562,5.760624072652803,5.566458318907201,0.8505605693751791,3.821744918823242,1,0.115,1,,85.1037037037037,80.0,38.0,147.0,11489.0,27.968872376288353,0.3643497430410378,1.6251604827439783
ID27765885,27765885,3,9.623069763183594,5.914385776109072,5.579388597996216,0.9025662162242561,7.643489837646484,2,0.115,1,,56.31111111111111,54.0,24.0,94.0,7602.0,17.79211072301709,0.3525501670433967,1.6499248448409276
