LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID474065,474065,1,100.0033187866211,3.177452165750075,1.1959848503042885,2.1835694699156596,0.0,0,0.1,1,,1.4556962025316456,1.0,0.0,3.0,115.0,0.9309144711936232,90.36708860759494,91.0,49.0,121.0,7139.0,17.329519216842687,0.13670684495208804,0.37612547426310583,0.2805626814465549,2.2849822702908718
ID474052,474052,1,54.629093170166016,3.494581508154977,0.9305893629091652,1.784010335575329,3.823415756225586,1,0.1,1,,0.0759493670886076,0.0,0.0,1.0,6.0,0.2666098608758891,47.24050632911393,47.0,26.0,67.0,3732.0,10.345586436481161,-0.3666617797976836,-0.32984347057297503,0.3197422046979569,2.212586639689771
ID474069,474069,1,103.1043701171875,3.41432757522478,0.8773330813055635,1.4530241483938775,7.646831512451172,2,0.1,1,,0.3037974683544304,0.0,0.0,1.0,24.0,0.46283492044491625,83.30379746835443,82.0,48.0,122.0,6581.0,19.101184303718156,0.3227189222290263,0.32029111514829545,0.3463129059727306,2.2436606319635337
ID474074,474074,1,82.61136627197266,3.309811241008553,0.9130255897296603,1.57678046696781,11.470247268676758,3,0.1,1,,0.1518987341772152,0.0,0.0,1.0,12.0,0.36121616494682235,65.24050632911393,66.0,35.0,92.0,5154.0,13.781458363037599,0.21947776993648552,0.15136784358208985,0.3190417710068016,2.290029831545504
ID474047,474047,1,46.57587432861328,3.1596434033270264,1.0047130355506988,1.6071899275274606,15.293663024902344,4,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,32.25316455696203,31.0,19.0,49.0,2548.0,7.638412297152585,NaN,NaN,0.3756345558296653,2.306012687301432
ID474078,474078,1,51.40195846557617,3.180681479483003,1.240308674620911,1.5184704867445886,19.11707878112793,5,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,40.58227848101266,41.0,20.0,58.0,3206.0,8.897720242354087,-1.0,-Infinity,0.33028662319437757,2.264818670015357
ID474086,474086,1,11.345714569091797,3.1926807130517965,1.1274546970780597,1.436567272157933,22.940494537353516,6,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,11.860759493670885,12.0,7.0,15.0,937.0,2.2230389065143825,-1.0,-Infinity,0.20178707576545693,1.791683314323198
