LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID7252594,7252594,0,16.568336486816406,3.7475447868808067,4.3841343871169265,3.0102713058232102,0.0,0,0.115,1,,99.32592592592593,96.0,40.0,163.0,13409.0,30.885399542823553,0.3468660166348185,1.6564439761304401
ID7252604,7252604,0,12.136871337890625,3.7066894074818566,4.213190346426506,2.9827570792283202,3.8217430114746094,1,0.115,1,,73.35555555555555,72.0,25.0,118.0,9903.0,23.104069121049836,0.34535774792208,1.630068858192482
ID7252590,7252590,0,6.4700775146484375,3.804721722168156,4.310267180132058,2.479003223401745,7.643486022949219,2,0.115,1,,41.237037037037034,40.0,14.0,66.0,5567.0,13.104748716268023,0.32731926296346525,1.5519757037911184
ID7252598,7252598,0,3.3151416778564453,3.800873679146965,4.333965065401239,2.456114112936244,11.465229034423828,3,0.115,1,,21.488888888888887,21.0,9.0,34.0,2901.0,6.520766673478681,0.3202952366080127,1.5989125780035822
ID7252600,7252600,0,3.4111557006835938,3.7917380601683264,4.289045173355887,2.4015527948604993,15.286972045898438,4,0.115,1,,22.14814814814815,22.0,10.0,34.0,2990.0,5.966971929524984,0.32186333096923014,1.8075834941742601
ID7252607,7252607,0,2.220147132873535,3.749065774874535,4.400299119365338,2.493071977957984,19.108715057373047,5,0.115,1,,16.05185185185185,16.0,5.0,24.0,2167.0,4.579836597682329,0.2843962066747933,1.5521366018587894
ID7252602,7252602,0,4.599443435668945,3.7484939979266234,4.4382391389322065,2.566676239774326,22.930458068847656,6,0.115,1,,27.6,27.0,11.0,45.0,3726.0,8.375693332851327,0.3469133729143411,1.697460537519773
ID7252596,7252596,0,4.652589797973633,3.792313657072995,4.362833376322874,2.5340973061077112,26.752201080322266,7,0.115,1,,28.31111111111111,28.0,11.0,46.0,3822.0,8.729318130580168,0.3415085672628988,1.6512572645293047
ID7252623,7252623,0,2.869373321533203,3.734529601113791,4.363283503688266,2.7009147265434836,30.573944091796875,8,0.115,1,,19.02962962962963,19.0,8.0,29.0,2569.0,5.275882526077158,0.31609630185407667,1.7325946165095885
ID7252610,7252610,0,2.921086311340332,3.7142621647867395,4.332648648809482,2.576852264506497,34.395687103271484,9,0.115,1,,16.496296296296297,16.0,6.0,28.0,2227.0,5.820542717263882,0.36249027025319946,1.5080505789400211
ID7252620,7252620,0,2.8211851119995117,3.7591691962383402,4.195270598714967,2.7802556101058364,38.217430114746094,10,0.115,1,,15.044444444444444,14.0,6.0,27.0,2031.0,5.715737200160058,0.37897508107361455,1.4467321556505757
ID7252612,7252612,0,2.358142852783203,3.8029141294429123,4.301615146013795,2.549280250789305,42.0391731262207,11,0.115,1,,12.674074074074074,12.0,4.0,23.0,1711.0,4.941190909731415,0.37770881179839844,1.406417571139042
ID7252627,7252627,0,2.570201873779297,3.7637761119231974,4.286961576109761,2.4562782231909415,45.86091613769531,12,0.115,1,,14.237037037037037,14.0,6.0,24.0,1922.0,4.760232352612298,0.3690929291429074,1.6125910929295706
ID7252616,7252616,0,3.1204938888549805,3.802370722323211,4.215182114468935,2.5085316805502815,49.68265914916992,13,0.115,1,,16.385185185185186,16.0,5.0,29.0,2212.0,6.357490804643144,0.38728018418729016,1.4389864430854713
ID7252637,7252637,0,2.9968976974487305,3.841109858679151,4.216622232744112,2.528629412572245,53.50440216064453,14,0.115,1,,15.548148148148147,15.0,5.0,28.0,2099.0,5.8993024107187635,0.3919780162984929,1.4843534985643745
ID7252632,7252632,0,2.141312599182129,3.871293897100941,4.227345670392844,2.4823223817165365,57.32614517211914,15,0.115,1,,11.222222222222221,11.0,4.0,20.0,1515.0,4.17824262612717,0.38442542210630004,1.491618423674186
ID7252635,7252635,0,1.975754737854004,3.827826165715725,4.27583162302462,2.6219609244616553,61.14788818359375,16,0.115,1,,11.466666666666667,12.0,4.0,19.0,1548.0,3.831916242502209,0.35961852337824435,1.582982655723843
ID7252629,7252629,0,3.0636472702026367,3.6965683155350475,4.318159287631425,2.5710369266431736,64.96963119506836,17,0.115,1,,16.125925925925927,15.0,6.0,28.0,2177.0,5.58840701627456,0.3902379117952749,1.6199699495105677
ID7252640,7252640,0,1.3623600006103516,3.251661999209326,4.39829575327135,2.96036037725625,68.79137420654297,18,0.115,1,,7.533333333333333,7.0,2.0,13.0,1017.0,2.7746184355126298,0.37413073713490963,1.4784588726725612
ID7252642,7252642,0,1.2571983337402344,3.4155907859254273,4.321957518763811,2.784584291614771,72.61311721801758,19,0.115,1,,6.637037037037037,6.0,2.0,12.0,896.0,2.4634868123733535,0.38613687750922265,1.5010292579621463
ID7252592,7252592,1,32.50111389160156,3.274543437952614,3.593718893447297,1.8990183144833772,0.0,0,0.115,1,,197.28148148148148,191.0,74.0,322.0,26633.0,62.41551326630502,0.3422814669957781,1.6119945190207323
ID7252603,7252603,1,34.92320251464844,3.2390533133264063,3.5834620847681093,1.7553773744975767,3.8217430114746094,1,0.115,1,,208.2,199.0,68.0,343.0,28107.0,71.10364518228974,0.3477246758147872,1.5109607607082944
ID7252588,7252588,1,33.442840576171875,3.215376035000986,3.565039890199954,1.436179272489726,7.643486022949219,2,0.115,1,,200.4148148148148,193.0,82.0,331.0,27056.0,62.52335506142559,0.34660337559012977,1.6501013971851204
