,,,,,TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,mt length,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.480228394,6.398396737,1.230241154,3.82174015,1,26.28571429,26,20,31,552,3.348773763,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.445725887,6.000031278,0.987164255,7.643480301,2,68.38095238,66,54,88,1436,10.80498121,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.045808663,6.688994156,0.655353442,11.46522045,3,149.9047619,152,118,191,3148,23.68734844,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.317292731,6.2313607,1.755434715,15.2869606,4,9.666666667,10,7,12,203,1.278019301,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.287765333,6.601211411,1.942167339,19.10870075,5,9.714285714,9,8,13,204,1.764733893,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.042242702,7.037926445,1.496957626,22.9304409,6,27.23809524,27,18,38,572,5.328271407,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,4.320462694,6.898904017,2.243223029,26.75218105,7,14.85714286,15,10,19,312,2.815771906,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,3.872004415,7.200067572,1.780286976,30.5739212,8,26.14285714,27,20,34,549,4.373622232,,,,,,,,,,,,,,,,,,,,,,,,,,
