TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,
Track ID,X,Y,Z,T,Frame,Min intensity ch2,Max intensity ch2,Sum intensity ch2,,
Track ID,X,Y,Z,T,Frame,Min ch2,Max ch2,Sum ch2,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),,
4,1.129501063,2.897565054,1.580410368,0,0,11,36,1904,,0.718738288
4,1.083572625,2.955030097,1.507283608,3.822578907,1,10,32,1717,,0.74116986
4,0.982123335,2.77971694,1.468566225,7.645157814,2,12,33,1855,,0.784661275
4,0.972939003,2.85378564,1.601214423,11.46773672,3,28,65,3660,,0.864587141
4,0.900189391,2.694525797,1.897402003,15.29031563,4,27,68,3835,,1.005424405
,,,,,,,,,,
,,,,,,,,,,
,1.707881046,3.125689098,1.219826475,57.33868361,15,,,,,
,1.779657897,3.110240804,1.305522135,61.16126251,16,,,,,
,1.727698621,2.999861191,1.362042434,64.98384142,17,,,,,
,1.767052203,3.035210514,1.311421108,68.80642033,18,,,,,
,1.690052615,3.096672418,1.422773288,72.62899923,19,,,,,
