TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,,,
Track ID,X,Y,Z,T,Frame,Max intensity ch2,Sum intensity ch2,,,,
Track ID,X,Y,Z,T,Frame,Max ch2,Sum ch2,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),,,,
3,3.445016388,6.001422078,0.989163765,0,0,88,4753,,1.20902622,,3.337018299
3,4.045429157,6.686478589,0.667057362,3.82174015,1,191,10497,,1.404344548,,
3,4.55496563,7.477541085,2.043234751,7.643480301,2,98,5704,,1.460775743,,
3,4.076040385,7.446454104,1.991270869,11.46522045,3,136,7866,,1.588970235,,
6,3.497694161,6.20476825,1.471729516,0,0,24,1198,,1.000498187,,
6,3.934299685,7.106880638,1.497325643,3.82174015,1,19,1084,,1.367094664,,
6,4.522467695,7.207046904,2.040871449,7.643480301,2,59,3600,,1.191790935,,
6,4.183001485,6.998069339,1.973063206,11.46522045,3,18,1022,,1.134385471,,
,,,,,,,,,,,
,,,,,,,,,,,
,4.349781357,5.763539485,1.755033612,7.643480301,2,,,,,,
,4.422078532,5.85141541,1.731476615,11.46522045,3,,,,,,
,4.381213772,6.044265755,1.820978385,15.2869606,4,,,,,,
,4.431854375,5.925296977,1.700919687,19.10870075,5,,,,,,
